# The delisting register. Forms 25 and 25-NSE are DELISTINGS;
# every 15* form is DEREGISTRATION and is never summed with them.
# A Form 15 can be filed by a company that was never listed.
# quarters read: 15, (2023, 1) to (2026, 3)
# delisting filings: 7399; distinct delisted issuers: 2781; deregistration filings: 2544
form	cik	company	date_filed	path
25-NSE	1825480	Poshmark, Inc.	2023-01-05	edgar/data/1825480/0001354457-23-000006.txt
25-NSE	876661	NEW YORK STOCK EXCHANGE LLC	2023-01-05	edgar/data/876661/0000876661-23-000022.txt
15-12G	1052054	Symbolic Logic, Inc.	2023-01-06	edgar/data/1052054/0001171520-23-000012.txt
15-12G	1825254	AMERICAS TECHNOLOGY ACQUISITION CORP.	2023-01-06	edgar/data/1825254/0001104659-23-001890.txt
15-12G	1830232	Altimeter Growth Corp. 2	2023-01-06	edgar/data/1830232/0001193125-23-003436.txt
15-12G	1832010	Omega Alpha SPAC	2023-01-06	edgar/data/1832010/0001104659-23-001671.txt
15-15D	1563166	J.P. Morgan Chase Commercial Mortgage Securities Trust 2012-	2023-01-06	edgar/data/1563166/0001888524-23-000019.txt
25	943034	AUTOSCOPE TECHNOLOGIES CORP	2023-01-06	edgar/data/943034/0000897101-23-000004.txt
25-NSE	1115128	Quotient Technology Inc.	2023-01-06	edgar/data/1115128/0000876661-23-000024.txt
25-NSE	1354457	Nasdaq Stock Market LLC	2023-01-06	edgar/data/1354457/0001354457-23-000008.txt
25-NSE	1354457	Nasdaq Stock Market LLC	2023-01-06	edgar/data/1354457/0001354457-23-000009.txt
25-NSE	1354457	Nasdaq Stock Market LLC	2023-01-06	edgar/data/1354457/0001354457-23-000011.txt
25-NSE	1604924	Forward Pharma A/S	2023-01-06	edgar/data/1604924/0001354457-23-000008.txt
25-NSE	1852771	Macondray Capital Acquisition Corp. I	2023-01-06	edgar/data/1852771/0001354457-23-000011.txt
25-NSE	1922858	EF Hutton Acquisition Corp I	2023-01-06	edgar/data/1922858/0001354457-23-000009.txt
25-NSE	876661	NEW YORK STOCK EXCHANGE LLC	2023-01-06	edgar/data/876661/0000876661-23-000024.txt
15-12G	1287808	Hill International, Inc.	2023-01-09	edgar/data/1287808/0001104659-23-002119.txt
15-12G	1703785	STR Sub Inc.	2023-01-09	edgar/data/1703785/0001193125-23-004784.txt
15-12G	1745797	MNRL Sub Inc.	2023-01-09	edgar/data/1745797/0001193125-23-004786.txt
15-12G	1823033	Hudson Executive Investment Corp. II	2023-01-09	edgar/data/1823033/0001193125-23-004805.txt
15-12G	1823034	Hudson Executive Investment Corp. III	2023-01-09	edgar/data/1823034/0001193125-23-004807.txt
15-12G	1823766	Archaea Energy Inc.	2023-01-09	edgar/data/1823766/0001213900-23-001487.txt
15-12G	1824993	Periphas Capital Partnering Corp	2023-01-09	edgar/data/1824993/0001193125-23-004042.txt
15-12G	1832300	Longview Acquisition Corp. II	2023-01-09	edgar/data/1832300/0001104659-23-002274.txt
15-12G	1836894	USHG Acquisition Corp.	2023-01-09	edgar/data/1836894/0001193125-23-004740.txt
15-12G	1841080	Gores Holdings VIII Inc.	2023-01-09	edgar/data/1841080/0001193125-23-004754.txt
15-12G	1844336	FINTECH ACQUISITION CORP VI	2023-01-09	edgar/data/1844336/0001213900-23-001716.txt
15-15D	1382298	Altera Infrastructure L.P.	2023-01-09	edgar/data/1382298/0001382298-23-000008.txt
15-15D	1382298	Altera Infrastructure L.P.	2023-01-09	edgar/data/1382298/0001382298-23-000009.txt
15-15D	1382298	Altera Infrastructure L.P.	2023-01-09	edgar/data/1382298/0001382298-23-000010.txt
15-15D	715787	INTERFACE INC	2023-01-09	edgar/data/715787/0000715787-23-000004.txt
15-15D	715787	INTERFACE INC	2023-01-09	edgar/data/715787/0000715787-23-000006.txt
25	1829948	CI Financial Corp.	2023-01-09	edgar/data/1829948/0001104659-23-002240.txt
25-NSE	1532981	Eros Media World PLC	2023-01-09	edgar/data/1532981/0000876661-23-000026.txt
25-NSE	1816017	Spire Global, Inc.	2023-01-09	edgar/data/1816017/0000876661-23-000030.txt
25-NSE	1852495	Jackson Acquisition Co	2023-01-09	edgar/data/1852495/0000876661-23-000029.txt
25-NSE	876661	NEW YORK STOCK EXCHANGE LLC	2023-01-09	edgar/data/876661/0000876661-23-000026.txt
25-NSE	876661	NEW YORK STOCK EXCHANGE LLC	2023-01-09	edgar/data/876661/0000876661-23-000029.txt
25-NSE	876661	NEW YORK STOCK EXCHANGE LLC	2023-01-09	edgar/data/876661/0000876661-23-000030.txt
15-12G	1826574	Sports Ventures Acquisition Corp.	2023-01-10	edgar/data/1826574/0001213900-23-001984.txt
15-12G	1839550	Figure Acquisition Corp. I	2023-01-10	edgar/data/1839550/0000950103-23-000337.txt
15-12G	1844908	Shelter Acquisition Corp I	2023-01-10	edgar/data/1844908/0001213900-23-001949.txt
15-15D	1752578	World Omni Auto Receivables Trust 2018-D	2023-01-10	edgar/data/1752578/0001104659-23-002448.txt
25-NSE	1829426	Far Peak Acquisition Corp	2023-01-10	edgar/data/1829426/0000876661-23-000032.txt
25-NSE	876661	NEW YORK STOCK EXCHANGE LLC	2023-01-10	edgar/data/876661/0000876661-23-000032.txt
15-12G	1824171	Kairos Acquisition Corp.	2023-01-11	edgar/data/1824171/0001104659-23-002978.txt
15-12G	1826855	Class Acceleration Corp.	2023-01-11	edgar/data/1826855/0001213900-23-002298.txt
25-NSE	1143362	NYSE ARCA, INC.	2023-01-11	edgar/data/1143362/0001143362-23-000007.txt
25-NSE	1354457	Nasdaq Stock Market LLC	2023-01-11	edgar/data/1354457/0001354457-23-000013.txt
25-NSE	1354457	Nasdaq Stock Market LLC	2023-01-11	edgar/data/1354457/0001354457-23-000015.txt
25-NSE	1592900	EA Series Trust	2023-01-11	edgar/data/1592900/0001143362-23-000007.txt
25-NSE	1623715	Imago BioSciences, Inc.	2023-01-11	edgar/data/1623715/0001354457-23-000013.txt
25-NSE	1819496	IG Acquisition Corp.	2023-01-11	edgar/data/1819496/0001354457-23-000015.txt
25-NSE	1833909	African Gold Acquisition Corp	2023-01-11	edgar/data/1833909/0000876661-23-000036.txt
25-NSE	1838666	Build Acquisition Corp.	2023-01-11	edgar/data/1838666/0000876661-23-000040.txt
25-NSE	1839569	FinTech Evolution Acquisition Group	2023-01-11	edgar/data/1839569/0000876661-23-000034.txt
25-NSE	1850316	Ascendant Digital Acquisition Corp. III	2023-01-11	edgar/data/1850316/0000876661-23-000038.txt
25-NSE	876661	NEW YORK STOCK EXCHANGE LLC	2023-01-11	edgar/data/876661/0000876661-23-000034.txt
25-NSE	876661	NEW YORK STOCK EXCHANGE LLC	2023-01-11	edgar/data/876661/0000876661-23-000036.txt
25-NSE	876661	NEW YORK STOCK EXCHANGE LLC	2023-01-11	edgar/data/876661/0000876661-23-000038.txt
25-NSE	876661	NEW YORK STOCK EXCHANGE LLC	2023-01-11	edgar/data/876661/0000876661-23-000040.txt
